Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Katherine Freese,https://images.gr-assets.com/books/1384017161l/17321141.jpg,The Cosmic Cocktail: Three Parts Dark Matter,3.58 avg rating,130 ratings,published 2014,"The ordinary atoms that make up the known universe--from our bodies and the air we breathe to the planets and stars--constitute only 5 percent of all matter and energy in the cosmos. The rest is known as dark matter and dark energy, because their precise identities are unknown. ""The Cosmic Cocktail""n  The ordinary atoms that make up the known universe--from our bodies and the air we breathe to the planets and stars--constitute only 5 percent of all matter and energy in the cosmos. The rest is known as dark matter and dark energy, because their precise identities are unknown. ""The Cosmic Cocktail"" is the inside story of the epic quest to solve one of the most compelling enigmas of modern science--what is the universe made of?--told by one of today's foremost pioneers in the study of dark matter.nnBlending cutting-edge science with her own behind-the-scenes insights as a leading researcher in the field, acclaimed theoretical physicist Katherine Freese recounts the hunt for dark matter, from the discoveries of visionary scientists like Fritz Zwicky--the Swiss astronomer who coined the term ""dark matter"" in 1933--to the deluge of data today from underground laboratories, satellites in space, and the Large Hadron Collider. Theorists contend that dark matter consists of fundamental particles known as WIMPs, or weakly interacting massive particles. Billions of them pass through our bodies every second without us even realizing it, yet their gravitational pull is capable of whirling stars and gas at breakneck speeds around the centers of galaxies, and bending light from distant bright objects. Freese describes the larger-than-life characters and clashing personalities behind the race to identify these elusive particles.nnMany cosmologists believe we are on the verge of solving the mystery. ""The Cosmic Cocktail"" provides the foundation needed to fully fathom this epochal moment in humankind's quest to understand the universe.",astronomy
Uma Krishnaswami,https://images.gr-assets.com/books/1409185211l/22929016.jpg,"Bright Sky, Starry City",3.74 avg rating,114 ratings,published 2015,"Phoebe helps her dad set up telescopes on the sidewalk outside his store. It’s a special night — Saturn and Mars are going to appear together in the sky. But will Phoebe be able to see them with all the city lights? Raindrops begin to fall, followed by lightning and thunder. Phoebe is filled with din  Phoebe helps her dad set up telescopes on the sidewalk outside his store. It’s a special night — Saturn and Mars are going to appear together in the sky. But will Phoebe be able to see them with all the city lights?nnRaindrops begin to fall, followed by lightning and thunder. Phoebe is filled with disappointment as she and her father hurry inside to wait out the storm.nnBut suddenly the power fails and then, amazingly, the rain and clouds disappear. Phoebe and her dad and all kinds of people spill into the street. And there, in the bright night sky, the splendor of the planets and a multitude of stars are revealed for all to see.nnAn illustrated afterword includes information about the solar system, planetary conjunctions and rings, moons, telescopes and light pollution. A glossary and recommended further reading are also included.",astronomy
Cornelia Dean,https://images.gr-assets.com/books/1365029187l/17347561.jpg,The New York Times Book of Physics and Astronomy,3.95 avg rating,41 ratings,published 2013,"From the discovery of distant galaxies and black holes to the tiny interstices of the atom, here is the very best on physics and astronomy from the New York Times! The newspaper of record has always prided itself on its award-winning science coverage, and these 125 articles from its archives are then  From the discovery of distant galaxies and black holes to the tiny interstices of the atom, here is the very best on physics and astronomy from the New York Times! The newspaper of record has always prided itself on its award-winning science coverage, and these 125 articles from its archives are the very best, covering more than a century of breakthroughs, setbacks, and mysteries. Selected by former science editor Cornelia Dean, they feature such esteemed and Pulitzer Prize-winning writers as Malcolm W. Browne on teleporting, antimatter atoms, and the physics of traffic jams; James Glanz on string theory; George Johnson on quantum physics; William L. Laurence on Bohr and Einstein; Dennis Overbye on the recent discovery of the Higgs Boson; Walter Sullivan on the colliding beam machine; and more.",astronomy
John Hands,https://images.gr-assets.com/books/1449297202l/25705943.jpg,Cosmosapiens: Human Evolution from the Origin of the Universe,3.70 avg rating,177 ratings,published 2016,"Specialist scientific fields are developing at incredibly swift speeds, but what can they really tell us about how the universe began and how we humans evolved to play such a dominant role on Earth? John Hands’s extraordinarily ambitious quest is to bring together this scientific knowledge and evalun  Specialist scientific fields are developing at incredibly swift speeds, but what can they really tell us about how the universe began and how we humans evolved to play such a dominant role on Earth?nnJohn Hands’s extraordinarily ambitious quest is to bring together this scientific knowledge and evaluate without bias or preconception all the theories and evidence about the origin and evolution of matter, life, consciousness, and humankind.nnThis astonishing book provides the most comprehensive account yet of current ideas such as cosmic inflation, dark energy, the selfish gene, and neurogenetic determinism. In the clearest possible prose it differentiates the firmly established from the speculative and examines the claims of various fields such as string theory to approach a unified theory of everything. In doing so it challenges the orthodox consensus in those branches of cosmology, biology, and neuroscience that have ossified into dogma.nnIts striking analysis reveals underlying patterns of cooperation, complexification, and convergence that lead to the unique emergence in humans of a self-reflective consciousness that enables us to determine our future evolution.nnThis groundbreaking book is destined to become a classic of scientific thinking.nn(67 black and white illustrations)",astronomy
Dean Regas,https://images.gr-assets.com/books/1461535099l/29526354.jpg,"Facts from Space!: From Super-Secret Spacecraft to Volcanoes in Outer Space, Extraterrestrial Facts to Blow Your Mind!",4.08 avg rating,40 ratings,published 2016,"A guided tour through the universe--and beyond! From the sun's super-hot core to the many moons of Neptune, we're traveling to the far reaches of our solar system and beyond! Astronomer Dean Regas presents Facts from Space!--an exciting education on everything outside our atmosphere. Inside, you'lln  A guided tour through the universe--and beyond! From the sun's super-hot core to the many moons of Neptune, we're traveling to the far reaches of our solar system and beyond! Astronomer Dean Regas presents Facts from Space!--an exciting education on everything outside our atmosphere. Inside, you'll discover space facts and celestial trivia, including:nA day on Venus is longer than its year.nEarly space missions ejected human waste into space, where it froze into intricate crystals that still float in space today.nAfter being in space, some astronauts returned to Earth up to 2 inches taller than when they left.nThe stars in the Big Dipper are shifting among themselves and will look like a ""Big Spatula"" by the year 75,000.nAnd more!nPacked with fascinating information, it's a stellar read for sci-fi fans and at-home astronomers alike!",astronomy
Brian Cox,https://images.gr-assets.com/books/1411334979l/21083719.jpg,Human Universe,4.30 avg rating,"2,284 ratings",published 2014,"Human life is a staggeringly strange thing. On the surface of a ball of rock falling around a nuclear fireball in the blackness of a vacuum the laws of nature conspired to create a naked ape that can look up at the stars and wonder where it came from. What is a human being? Objectively, nothing of cn  Human life is a staggeringly strange thing. On the surface of a ball of rock falling around a nuclear fireball in the blackness of a vacuum the laws of nature conspired to create a naked ape that can look up at the stars and wonder where it came from.nnWhat is a human being? Objectively, nothing of consequence. Particles of dust in an infinite arena, present for an instant in eternity. Clumps of atoms in a universe with more galaxies than people. And yet a human being is necessary for the question itself to exist, and the presence of a question in the universe – any question – is the most wonderful thing.nnQuestions require minds, and minds bring meaning. What is meaning? I don’t know, except that the universe and every pointless speck inside it means something to me. I am astonished by the existence of a single atom, and find my civilisation to be an outrageous imprint on reality. I don’t understand it. Nobody does, but it makes me smile.nnThis book asks questions about our origins, our destiny, and our place in the universe. We have no right to expect answers; we have no right to even ask. But ask and wonder we do.nnHuman Universe is first and foremost a love letter to humanity; a celebration of our outrageous fortune in existing at all. I have chosen to write my letter in the language of science, because there is no better demonstration of our magnificent ascent from dust to paragon of animals than the exponentiation of knowledge generated by science. Two million years ago we were apemen. Now we are spacemen. That has happened, as far as we know, nowhere else. That is worth celebrating.",astronomy
Joshua N. Winn,https://images.gr-assets.com/books/1446377398l/27313203.jpg,The Search for Exoplanets: What Astronomers Know,4.38 avg rating,102 ratings,published 2015,"As recently as 1990, it seemed plausible that the solar system was a unique phenomenon in our galaxy. Thanks to advances in technology and clever new uses of existing data, now we know that planetary systems and possibly even a new Earth can be found throughout galaxies near and far. We are living dn  As recently as 1990, it seemed plausible that the solar system was a unique phenomenon in our galaxy. Thanks to advances in technology and clever new uses of existing data, now we know that planetary systems and possibly even a new Earth can be found throughout galaxies near and far.nWe are living during a new golden age of planetary discovery, with the prospect of finding many worlds like Earth. Most of the thousands of planets we've detected can't be imaged directly, but researchers are able to use subtle clues obtained in ingenious ways to assemble an astonishing picture of planetary systems far different from our own. We are in the midst of an astronomical revolution, comparable to the Copernican revolution that established our current view of the solar system - and we invite you to take part.nEmbark on this unrivaled adventure in 24 lectures by a veteran planet hunter. Designed for everyone from armchair explorers to serious skywatchers, The Search for Exoplanets follows the numerous twists and turns in the hunt for exoplanets - the false starts, the sudden breakthroughs, and the extraordinary discoveries. Explore systems containing super-Earths, mini-Neptunes, lava worlds, and even stranger worlds. You also get behind-the-scenes information on the techniques astronomers used to find evidence of planets at mind-boggling distances from our home base. Learn how astronomers determine how many planets are in a system as well as how large they are and the characteristics of their atmospheres. You will feel like Dr. Watson in the presence of Sherlock Holmes as Professor Winn extracts a wealth of information from a spectrum, a light graph, a diffraction pattern, and other subtle clues.n©2015 The Teaching Company, LLC (P)2015 The Great Courses",astronomy
David Elliot,https://images.gr-assets.com/books/1412527912l/23281934.jpg,Henry's Stars,3.49 avg rating,99 ratings,published 2015,"The stars take shape in this adorable companion to Henry's Map! One beautiful evening on the farm, Henry stares up at the sky. As he looks from star to star, they seem to form a picture. He sees it! A great big starry pig! Henry can’t wait to show his friends. Yet instead of seeing the Great Pig’s en  The stars take shape in this adorable companion to Henry's Map! One beautiful evening on the farm, Henry stares up at the sky. As he looks from star to star, they seem to form a picture. He sees it! A great big starry pig! Henry can’t wait to show his friends. Yet instead of seeing the Great Pig’s ears, legs, and curly tail, the sheep see a woolly body . . . the Great Sheep! Abigail sees the Great Star Cow, of course, and the chickens spot Heavenly Hens flying all over the place. Henry is frustrated. Why don’t the others see what he sees? In this charming companion to Henry’s Map, David Elliot explores—with gentle humor—the nature of art and perception. A perfect book for kids and adults who love to find shapes among the stars or anywhere else their imaginations may lead.Praise for Henry's Stars""Elliot’s watercolor and pencil illustrations seamlessly blend the realism and farce that makes this story work so well. Teachers will enjoy using this story to exemplify point of view or introduce a unit on constellations. Younger audiences will relate to Henry and delight in the predictability of his predicament. This modern-day fable deserves a place in most collections.""—School Library Journaln  n  n  Praise for n  Henry’s Mapn One of School Library Journal's Best Books in 2013!  * “With appealing characters and gentle humor, this book will be a hit at storytime, or as an introduction to mapping lessons.” —School Library Journal, starred review   * “Here’s hoping for many more Henry-centric adventures.” —Kirkus Reviews, starred review   “Elliot’s barnyard animals brim with personality and emotion, matching the understated humor of this charming story.” —Publishers Weekly   “This story may even inspire budding cartographers to map their own world.” —Booklist",astronomy
Ariel Waldman,https://images.gr-assets.com/books/1464798144l/25777473.jpg,What's It Like in Space?: Stories from Astronauts Who've Been There,4.00 avg rating,215 ratings,published 2016,"Everyone wonders what it's really like in space, but very few of us have ever had the chance to experience it firsthand. This captivating illustrated collection brings together stories from dozens of international astronauts—men and women who've actually been there—who have returned with accounts ofn  Everyone wonders what it's really like in space, but very few of us have ever had the chance to experience it firsthand. This captivating illustrated collection brings together stories from dozens of international astronauts—men and women who've actually been there—who have returned with accounts of the sometimes weird, often funny, and awe-inspiring sensations and realities of being in space. With playful artwork accompanying each, here are the real stories behind backwards dreams, ""moon face,"" the tricks of sleeping in zero gravity and aiming your sneeze during a spacewalk, the importance of packing hot sauce, and dozens of other cosmic quirks and amazements that come with travel in and beyond low Earth orbit.",astronomy
Stephen Hawking,https://images.gr-assets.com/books/1385683349l/19033559.jpg,Solving the Mysteries of the Universe,4.36 avg rating,59 ratings,published 2013,"This book tells the complelling story of one of the greatest mysteries of modern Cosmology. Like all great breakthroughs in science, it is often an unexpected result, which spurs the science community into rethinking how the Universe works. Towards the end of the twentieth century scientists thoughtn  This book tells the complelling story of one of the greatest mysteries of modern Cosmology. Like all great breakthroughs in science, it is often an unexpected result, which spurs the science community into rethinking how the Universe works. Towards the end of the twentieth century scientists thought they had a unified picture of how the Universe worked. Then, at the end of the twentieth century an entirely unexpected discovery was made. This discovery has the potential to revolutionize the way we understand the Universe. Indeed, the discovery may allow science to unravel the mysteries of the entire physical Universe.",astronomy
Ron Garan,https://images.gr-assets.com/books/1419182682l/22632367.jpg,The Orbital Perspective: Lessons in Seeing the Big Picture from a Journey of 71 Million Miles,3.81 avg rating,120 ratings,published 2015,"Ron Garan experienced something unique and extraordinary living in orbit on the International Space Station (ISS) for six months. The ISS is arguably the most ambitious, technologically complicated undertaking in human history, and no one nation constructed it alone. Garan delves into the origins ann  Ron Garan experienced something unique and extraordinary living in orbit on the International Space Station (ISS) for six months. The ISS is arguably the most ambitious, technologically complicated undertaking in human history, and no one nation constructed it alone. Garan delves into the origins and global importance of the ISS, and then digs deeper to reveal the very personal impact his time on the ISS had for him. Now active in global projects to promote peace, combat hunger, thirst, and poverty, Ron is determined to use the audacity of the ISS as a model for cooperation to solve our greatest problems. We have all the technology and resources we need to overcome our greatest barriers to living in peace and prosperity. We only need to step outside our comfort zones, the way we ve always done things, and have the courage to embrace new collaborative partnerships and processes. Much more than a memoir or travelogue, Ron's book is a call to action for each of us to care for the most important space station of all, planet Earth.""",astronomy
Dava Sobel,https://images.gr-assets.com/books/1456090952l/25663707.jpg,And the Sun Stood Still,3.52 avg rating,48 ratings,published 2016,"Using her deep knowledge, her skills as a storyteller, and her imagination, Dava Sobel illuminates one of history's most significant and far-reaching meetings. In the spring of 1539, a young German mathematician--Georg Joachim Rheticus--journeyed hundreds of miles to northern Poland to meet the legen  Using her deep knowledge, her skills as a storyteller, and her imagination, Dava Sobel illuminates one of history's most significant and far-reaching meetings. In the spring of 1539, a young German mathematician--Georg Joachim Rheticus--journeyed hundreds of miles to northern Poland to meet the legendary, elderly cleric and reluctant astronomer Nicolaus Copernicus. Some two decades earlier, Copernicus had floated the mind-boggling theory that the Sun, not the Earth, was stationary at the center of the universe, and he was rumored to have crafted a book that could prove it. Though exactly what happened between them can never be known, Rheticus shepherded Copernicus's great work into production and De revolutionibus orbium coelestium ultimately changed the course of human understanding.nnDava Sobel imagines their dramatic encounter, and with wit and erudition gives them personality. Through clever and dramatic dialogue, she brings alive the months Rheticus and Copernicus spent together--the one a heretical Lutheran, the other a free-thinking Catholic--and in the process illuminates the historic tension between science and religion. An introduction by Dava Sobel will set the stage, putting the scenes in historical context, and an afterword will describe what happened after Copernicus's book was published detailing the impact it had on science and on civilization.",astronomy
Ulinka Rublack,https://images.gr-assets.com/books/1445457284l/27250726.jpg,The Astronomer and the Witch: Johannes Kepler's Fight for his Mother,3.83 avg rating,58 ratings,published 2015,"Johannes Kepler (1571-1630) was one of the most admired astronomers who ever lived and a key figure in the scientific revolution. A defender of Copernicuss sun-centred universe, he famously discovered that planets move in ellipses, and defined the three laws of planetary motion. Perhaps less well knn  Johannes Kepler (1571-1630) was one of the most admired astronomers who ever lived and a key figure in the scientific revolution. A defender of Copernicus´s sun-centred universe, he famously discovered that planets move in ellipses, and defined the three laws of planetary motion. Perhaps less well known is that in 1615, when Kepler was at the height of his career, his widowed mother Katharina was accused of witchcraft. The proceedings led to a criminal trialthat lasted six years, with Kepler conducting his mother's defence.In The Astronomer and the Witch, Ulinka Rublack pieces together the tale of this extraordinary episode in Kepler's life, one which takes us to the heart of his changing world. First and foremost an intense family drama, the story brings to life the world of a small Lutheran community in the centre of Europe at a time of deep religious and political turmoil - a century after the Reformation, and on the threshold of the Thirty Years' War.Kepler's defence of his mother also offers us a fascinating glimpse into the great astronomer's world view, on the cusp between Reformation and scientific revolution. While advancing rational explanations for the phenomena which his mother's accusers attributed to witchcraft, Kepler nevertheless did not call into question the existence of magic and witches. On the contrary, he clearly believed in them. And, as the story unfolds, it appears that there were moments when even Katharina'schildren struggled to understand what their mother had done...",astronomy
Roger Penrose,https://images.gr-assets.com/books/1445791230l/26597281.jpg,"Fashion, Faith, and Fantasy in the New Physics of the Universe",3.94 avg rating,114 ratings,published 2016,"What can fashionable ideas, blind faith, or pure fantasy possibly have to do with the scientific quest to understand the universe? Surely, theoretical physicists are immune to mere trends, dogmatic beliefs, or flights of fancy? In fact, acclaimed physicist and bestselling author Roger Penrose arguesn  What can fashionable ideas, blind faith, or pure fantasy possibly have to do with the scientific quest to understand the universe? Surely, theoretical physicists are immune to mere trends, dogmatic beliefs, or flights of fancy? In fact, acclaimed physicist and bestselling author Roger Penrose argues that researchers working at the extreme frontiers of physics are just as susceptible to these forces as anyone else. In this provocative book, he argues that fashion, faith, and fantasy, while sometimes productive and even essential in physics, may be leading today's researchers astray in three of the field's most important areas--string theory, quantum mechanics, and cosmology.nnArguing that string theory has veered away from physical reality by positing six extra hidden dimensions, Penrose cautions that the fashionable nature of a theory can cloud our judgment of its plausibility. In the case of quantum mechanics, its stunning success in explaining the atomic universe has led to an uncritical faith that it must also apply to reasonably massive objects, and Penrose responds by suggesting possible changes in quantum theory. Turning to cosmology, he argues that most of the current fantastical ideas about the origins of the universe cannot be true, but that an even wilder reality may lie behind them. Finally, Penrose describes how fashion, faith, and fantasy have ironically also shaped his own work, from twistor theory, a possible alternative to string theory that is beginning to acquire a fashionable status, to ""conformal cyclic cosmology,"" an idea so fantastic that it could be called ""conformal crazy cosmology.""nnThe result is an important critique of some of the most significant developments in physics today from one of its most eminent figures.",astronomy
Thomas Levenson,https://images.gr-assets.com/books/1439584723l/25238350.jpg,"The Hunt for Vulcan: . . . And How Albert Einstein Destroyed a Planet, Discovered Relativity, and Deciphered the Universe",4.04 avg rating,"1,388 ratings",published 2015,"A short, charming, character-driven book on science that tells the story of the 50-year search by the world’s top scientists for the “missing” planet Vulcan and Albert Einstein’s remarkable proof of the Theory of Relativity, which once and for all proved that the planet never existed in the first pln  A short, charming, character-driven book on science that tells the story of the 50-year search by the world’s top scientists for the “missing” planet Vulcan and Albert Einstein’s remarkable proof of the Theory of Relativity, which once and for all proved that the planet never existed in the first place. November 2015 is the 100th anniversary of Einstein’s discovery of the General Theory of Relativity.nnLevenson, head of MIT’s Science Writing Program, tells the captivating, unusual, and nearly-forgotten backstory behind Einstein’s invention of the Theory of Relativity, which completely changed the course of science forever. For over 50 years before Einstein developed his theory, the world’s top astronomers spent countless hours and energy searching for a planet, which came to be named Vulcan, that had to exist, it was thought, given Isaac Newton’s theories of gravity. Indeed, in the two centuries since Newton’s death, his theory had essentially become accepted as fact. It took Einstein’s genius to realize the mystery of the missing planet wasn’t a problem of measurements or math but of Newton’s theory of gravity itself. Einstein’s Theory of Relativity proved that Vulcan did not and could not exist, and that the decades-long search for it had merely been a quirk of operating under the wrong set of assumptions about the universe. Thomas Levenson tells this unique story, one of the strangest episodes in the history of science, with elegant simplicity, fast-paced drama, and lively characters sure to capture the attention of a wide group of readers.",astronomy
Frank Close,https://images.gr-assets.com/books/1499973131l/32766130.jpg,Eclipse: Journeys to the Dark Side of the Moon,3.87 avg rating,45 ratings,published 2017,"On August 21st, over one hundred million people will gather across the USA to witness the most-watched total solar eclipse in history. Eclipse: Journeys to the Dark Side of the Moon, by popular science author Frank Close, describes the spellbinding allure of this beautiful natural phenomenon. The bon  On August 21st, over one hundred million people will gather across the USA to witness the most-watched total solar eclipse in history. Eclipse: Journeys to the Dark Side of the Moon, by popular science author Frank Close, describes the spellbinding allure of this beautiful natural phenomenon. The book explains why eclipses happen, reveals their role in history, literature and myth, and introduces us to eclipse chasers, who travel with ecstatic fervor to some of the most inaccessible places on the globe. The book also includes the author's quest to solve a 3000-year-old mystery: how did the moon move backward during a total solar eclipse, as claimed in the Book of Joshua?nnEclipse is also the story of how a teacher inspired the author, aged eight, to pursue a career in science and a love affair with eclipses that has taken him to a war zone in the Western Sahara, the South Pacific, and the African bush. The tale comes full circle with another eight-year old boy - the author's grandson - at the 2017 great American eclipse. Readers of all ages will be drawn to this inspirational chronicle of the mesmerizing experience of total solar eclipse.",astronomy
Tyler Nordgren,https://images.gr-assets.com/books/1459384007l/29101504.jpg,"Sun, Moon, Earth: The History of Solar Eclipses, from Omens of Doom to Einstein and Exoplanets",3.84 avg rating,190 ratings,published 2016,"One of Amazon's Best Science Books of 2016 An astronomer traces the natural history of solar eclipses from supernatural to scientific phenomenon, showing us a more wonderful way to look up at the sky On August 21, 2017, more than ten million Americans will experience an awe-inspiring phenomenon: then  One of Amazon's Best Science Books of 2016n  nnAn astronomer traces the natural history of solar eclipses from supernatural to scientific phenomenon, showing us a more wonderful way to look up at the skyn  nOn August 21, 2017, more than ten million Americans will experience an awe-inspiring phenomenon: the first total eclipse of the sun in America in almost forty years. In Sun Moon Earth, astronomer Tyler Nordgren illustrates how this most seemingly unnatural of natural phenomena was transformed from a fearsome omen to a tourist attraction. From the astrologers of ancient China and Babylon to the high priests of the Maya, Sun Moon Earth takes us around the world to show how different cultures interpreted these dramatic events. Greek philosophers discovered eclipses' cause and used them to measure their world and the cosmos beyond. Victorian-era scientists mounted eclipse expeditions during the age of globe-spanning empires. And modern-day physicists continue to use eclipses to confirm Einstein's theory of relativity.Beautifully illustrated and lyrically written, Sun Moon Earth is the ideal guide for all eclipse watchers and star gazers alike.",astronomy
Michael  Brooks,https://images.gr-assets.com/books/1417983126l/22571814.jpg,At the Edge of Uncertainty: 11 Discoveries Taking Science by Surprise,3.88 avg rating,559 ratings,published 2014,"The bestselling author of Free Radicals takes readers on a whirlwind tour of the most controversial areas of modern science   The atom. The Big Bang. DNA. Natural selection. All are ideas that have revolutionized science—and all were dismissed out of hand when they first appeared. The surprises haven  The bestselling author of n  Free Radicalsn takes readers on a whirlwind tour of the most controversial areas of modern science   The atom. The Big Bang. DNA. Natural selection. All are ideas that have revolutionized science—and all were dismissed out of hand when they first ap­peared. The surprises haven’t stopped in recent years, and in At the Edge of Uncertainty, bestselling author Michael Brooks investigates the new wave of radical insights that are shaping the future of scientific discovery.   Brooks takes us to the extreme frontiers of what we understand about the world. He journeys from the observations that might rewrite our story of how the cosmos came to be, through the novel biology behind our will to live, and on to the physi­ological root of consciousness. Along the way, he examines how it’s time to redress the gender im­balance in clinical trials, explores how merging hu­mans with other species might provide a solution to the shortage of organ donors, and finds out whether the universe really is like a computer or if the flow of time is a mere illusion.",astronomy
Mark Thompson,https://images.gr-assets.com/books/1455904082l/28943768.jpg,A Space Traveler's Guide to the Solar System,3.42 avg rating,125 ratings,published 2015,"Have you ever dreamed of being an astronaut, traveling through the universe on your very own space mission? What would it be like to tour the solar system, visiting the sun and the planets, taking in everything from moons to asteroid belts along the way? What would you see, and how would you feel? Wn  Have you ever dreamed of being an astronaut, traveling through the universe on your very own space mission? What would it be like to tour the solar system, visiting the sun and the planets, taking in everything from moons to asteroid belts along the way? What would you see, and how would you feel? What would you eat? How would you navigate and produce fuel? How would you survive?nOn this epic voyage of discovery, astronomer Mark Thompson takes you on that journey. From how to prepare for take-off and the experience of leaving Earth’s atmosphere, to the reality of living in the confines of a spaceship and the strange sensation of weightlessness, this is an adventure like no other.nSuit up, strap in, and enjoy the ride!",astronomy
Steven Weinberg,https://images.gr-assets.com/books/1410766672l/22328555.jpg,To Explain the World: The Discovery of Modern Science,3.74 avg rating,"1,337 ratings",published 2015,"A masterful commentary on the history of science from the Greeks to modern times, by Nobel Prize-winning physicist Steven Weinberg—a thought-provoking and important book by one of the most distinguished scientists and intellectuals of our time. In this rich, irreverent, and compelling history, Nobeln  A masterful commentary on the history of science from the Greeks to modern times, by Nobel Prize-winning physicist Steven Weinberg—a thought-provoking and important book by one of the most distinguished scientists and intellectuals of our time.nnIn this rich, irreverent, and compelling history, Nobel Prize-winning physicist Steven Weinberg takes us across centuries from ancient Miletus to medieval Baghdad and Oxford, from Plato’s Academy and the Museum of Alexandria to the cathedral school of Chartres and the Royal Society of London. He shows that the scientists of ancient and medieval times not only did not understand what we understand about the world—they did not understand what there is to understand, or how to understand it. Yet over the centuries, through the struggle to solve such mysteries as the curious backward movement of the planets and the rise and fall of the tides, the modern discipline of science eventually emerged. Along the way, Weinberg examines historic clashes and collaborations between science and the competing spheres of religion, technology, poetry, mathematics, and philosophy.nnAn illuminating exploration of the way we consider and analyze the world around us, To Explain the World is a sweeping, ambitious account of how difficult it was to discover the goals and methods of modern science, and the impact of this discovery on human knowledge and development.",astronomy
Leslie Wickman,https://images.gr-assets.com/books/1424307866l/22716280.jpg,God of the Big Bang: How Modern Science Affirms the Creator,3.84 avg rating,64 ratings,published 2015,Ph.D. expert in astronautical and aeronautical engineering provides good news for believers — new scientific research supports the idea that the universe was creat,astronomy
Elizabeth Tasker,https://images.gr-assets.com/books/1489527940l/34597384.jpg,The Planet Factory: Exoplanets and the Search for a Second Earth,3.95 avg rating,104 ratings,published 2017,"Twenty years ago, the search for planets outside the Solar System was a job restricted to science-fiction writers. Now it's one of the fastest-growing fields in astronomy with thousands of exoplanets discovered to date, and the number is rising fast.These new-found worlds are more alien than anythinn  Twenty years ago, the search for planets outside the Solar System was a job restricted to science-fiction writers. Now it's one of the fastest-growing fields in astronomy with thousands of exoplanets discovered to date, and the number is rising fast.These new-found worlds are more alien than anything in fiction. Planets larger than Jupiter with years lasting a week; others with two suns lighting their skies, or with no sun at all. Planets with diamond mantles supporting oceans of tar; possible Earth-sized worlds with split hemispheres of perpetual day and night; waterworlds drowning under global oceans and volcanic lava planets awash with seas of magma. The discovery of this diversity is just the beginning. There is a whole galaxy of possibilities.n  nThe Planet Factory tells the story of these exoplanets. Each planetary system is different, but in the beginning most if not all young stars are circled by clouds of dust, specks that come together in a violent building project that can form colossal worlds hundreds of times the size of the Earth. The changing orbits of young planets risk dooming any life evolving on neighbouring worlds or, alternatively, can deliver the key ingredients needed to seed its beginnings. Planet formation is one of the greatest construction schemes in the Universe, and it occurred around nearly every star you see. Each results in an alien landscape, but is it possible that one of these could be like our own home world?",astronomy
Mark Manson,https://images.gr-assets.com/books/1465761302l/28257707.jpg,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.01 avg rating,"202,094 ratings",published 2016,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people. For decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivitn  In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people.nnFor decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivity,"" Mark Manson says. ""Let’s be honest, shit is f**ked and we have to live with it."" In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F**k is his antidote to the coddling, let’s-all-feel-good mindset that has infected American society and spoiled a generation, rewarding them with gold medals just for showing up.nnManson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—""not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault."" Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek.nnThere are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F**k is a refreshing slap for a generation to help them lead contented, grounded lives.",business
