Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Cari Silverwood,https://images.gr-assets.com/books/1537140393l/41825438.jpg,Blade (Dark Monster Fantasy #3),4.34 avg rating,96 ratings,published 2018,"When irresistible force meets irresistible girl more than sparks will fly – fur, spiky bits, and possibly tentacles. Ledderik is a slightly homicidal cyborg and is ready to lose himself in a virtual world for the rest of his tomorrows, until he saves Thorn from death and gets sucked into the wake ofn  When irresistible force meets irresistible girl more than sparks will fly – fur, spiky bits, and possibly tentacles. Ledderik is a slightly homicidal cyborg and is ready to lose himself in a virtual world for the rest of his tomorrows, until he saves Thorn from death and gets sucked into the wake of her cataclysmic siren attraction. Maybe life can be fun? Besides, she has such a cute … tail. One small problem, Led no longer owns his body. Thorn has also lost everything in one day. Cross out being a starship captain or her own species, or having friends. Instead she’s been cursed with being a hurricane force sexual magnet. She has questions. Why is she a biohazard on most reputable planets and how can she avoid triggering an extinction event and killing every male nearby? The two of them cross the galaxy, with Led swapping from loaner body to loaner body.  He’s the one male who can resist her, and he’s upskilling. Up against the wall? Upside down? With tentacles and DD drilling power? Led is good at what he does. Always. Meet the hot ex-cyborg who no longer looks in the mirror, in case his latest loaner body is ugly. He has one priority – make sure the downstairs department is BIG. Warning. This story may contain robots, cyborgs, dark naughtiness, and species that come equipped with extra wriggly bits. ",science-fiction
Cara Bristol,https://images.gr-assets.com/books/1534704423l/40804945.jpg,Darak (Dakonian Alien Mail Order Brides #1; Intergalactic Dating Agency),4.12 avg rating,100 ratings,published 2018,"Revenge is best served sweet with a hot, horned alien Free-spirited pastry chef Lexi Sutterman has discovered that true love is pie in the sky. The only thing more difficult than finding an Earth man willing to commit is pleasing her wealthy, hypercritical family who view her as a failure. So she’sn  Revenge is best served sweet with a hot, horned alien Free-spirited pastry chef Lexi Sutterman has discovered that true love is pie in the sky. The only thing more difficult than finding an Earth man willing to commit is pleasing her wealthy, hypercritical family who view her as a failure. So she’s given up on both, focusing her energy on her new bakery. Now that her uber successful little sister manages to nab a well-heeled fiancé, Lexi fights back by joining the Intergalactic Dating Agency. She plans to bring a huge, purple, tentacled alien as her plus-one to the wedding. Darak of planet Dakon isn't purple or tentacled—he’s just seven feet of horned alien hotness. To get a woman on his world, a guy has to literally win the lottery. Tired of waiting for the Fates to send him a female, he joins the dating service to meet a nice Earth girl to call his own. He recognizes Lexi as his true mate, but realizes convincing her they’re meant to be together forever and not just a weekend will be no cake walk. But when a sweet-tart pastry chef and a horned alien hottie fall in love, everyone might get their just desserts… * * * * DARAK: Dakonian Alien Mail Order Brides is a new science fiction romance series and a spin-off from the author’s Alien Mate series. In the Alien Mate books, Earth women travel to planet Dakon to become the mail order brides of aliens. In the Dakonian Alien Mail Order Brides series, the aliens get tired of waiting for their ship bringing women to come in, so they join the Intergalactic Dating Agency and go to Earth. ",science-fiction
R.E.  Stearns,https://images.gr-assets.com/books/1511296954l/36637658.jpg,"Mutiny at Vesta (Shieldrunner Pirates, #2)",4.08 avg rating,13 ratings,published 2018,"Adda Karpe and Iridian Nassir have escaped the AI that tried to kill them on Barbary Station, and earned themselves coveted spots as engineers on Captain Sloane’s pirate crew. Now they’re enroute to Sloane’s home base on Vesta to start the lives they’ve dreamed and worked for, as wildly successful pn  Adda Karpe and Iridian Nassir have escaped the AI that tried to kill them on Barbary Station, and earned themselves coveted spots as engineers on Captain Sloane’s pirate crew. Now they’re enroute to Sloane’s home base on Vesta to start the lives they’ve dreamed and worked for, as wildly successful pirates. In the asteroid belt, they’ll finally be able to start stealing from the megacorporations that would’ve kept them apart if they’d opted to work legally.nnUnfortunately, the political situation on Vesta has deteriorated in Captain Sloane’s absence. Instead of running the place, Sloane and the crew find themselves trapped in a contract with Oxia Corp., one of the very megacorporations they’d hoped to prey on. Oxia is terrifyingly powerful, with a reputation for getting what they want—and they want Sloane’s crew working for them. Instead of stealing from the rich, they’re forced to rob and intimidate targets they’d never have chosen on their own, all for a shadowy corporate overlord with a dangerous secret.nnBut Adda and Iridian didn’t pull off the heist of the century and survive a murderous AI just to be defeated by a megacorporation. If they’re ever going to have the independent life together that they’ve always wanted, they’ll have to free themselves from Oxia Corp.—or die trying.",science-fiction
Dan Koboldt,https://images.gr-assets.com/books/1525442104l/38395588.jpg,"Putting the Science in Fiction: Expert Advice for Writing with Authenticity in Science Fiction, Fantasy, & Other Genres",4.58 avg rating,38 ratings,published 2018,"Science and technology have starring roles in a wide range of genres--science fiction, fantasy, thriller, mystery, and more. Unfortunately, many depictions of technical subjects in literature, film, and television are pure fiction. A basic understanding of biology, physics, engineering, and medicinen  Science and technology have starring roles in a wide range of genres--science fiction, fantasy, thriller, mystery, and more. Unfortunately, many depictions of technical subjects in literature, film, and television are pure fiction. A basic understanding of biology, physics, engineering, and medicine will help you create more realistic stories that satisfy discerning readers.nnThis book brings together scientists, physicians, engineers, and other experts to help you:nUnderstand the basic principles of science, technology, and medicine that are frequently featured in fiction.nAvoid common pitfalls and misconceptions to ensure technical accuracy.nWrite realistic and compelling scientific elements that will captivate readers.nBrainstorm and develop new science- and technology-based story ideas.nWhether writing about mutant monsters, rogue viruses, giant spaceships, or even murders and espionage, Putting the Science in Fiction will have something to help every writer craft better fiction.nnPutting the Science in Fiction collects articles from ""Science in Sci-fi, Fact in Fantasy,"" Dan Koboldt's popular blog series for authors and fans of speculative fiction (dankoboldt.com/science-in-scifi). Each article discusses an element of sci-fi or fantasy with an expert in that field. Scientists, engineers, medical professionals, and others share their insights in order to debunk the myths, correct the misconceptions, and offer advice on getting the details right.",science-fiction
Hank Green,https://images.gr-assets.com/books/1520026196l/24233708.jpg,An Absolutely Remarkable Thing,4.20 avg rating,"10,101 ratings",published 2018,"The Carls just appeared. Coming home from work at three a.m., twenty-three-year-old April May stumbles across a giant sculpture. Delighted by its appearance and craftsmanship--like a ten-foot-tall Transformer wearing a suit of samurai armor--April and her friend Andy make a video with it, which Andyn  The Carls just appeared. Coming home from work at three a.m., twenty-three-year-old April May stumbles across a giant sculpture. Delighted by its appearance and craftsmanship--like a ten-foot-tall Transformer wearing a suit of samurai armor--April and her friend Andy make a video with it, which Andy uploads to YouTube. The next day April wakes up to a viral video and a new life. News quickly spreads that there are Carls in dozens of cities around the world--everywhere from Beijing to Buenos Aires--and April, as their first documentarian, finds herself at the center of an intense international media spotlight. nnNow April has to deal with the pressure on her relationships, her identity, and her safety that this new position brings, all while being on the front lines of the quest to find out not just what the Carls are, but what they want from us.",science-fiction
Marie Lu,https://images.gr-assets.com/books/1526376554l/29386918.jpg,"Wildcard (Warcross, #2)",4.07 avg rating,"7,426 ratings",published 2018,"Emika Chen barely made it out of the Warcross Championships alive. Now that she knows the truth behind Hideo's new NeuroLink algorithm, she can no longer trust the one person she's always looked up to, who she once thought was on her side. Determined to put a stop to Hideo's grim plans, Emika and thn  Emika Chen barely made it out of the Warcross Championships alive. Now that she knows the truth behind Hideo's new NeuroLink algorithm, she can no longer trust the one person she's always looked up to, who she once thought was on her side.nnDetermined to put a stop to Hideo's grim plans, Emika and the Phoenix Riders band together, only to find a new threat lurking on the neon-lit streets of Tokyo. Someone's put a bounty on Emika's head, and her sole chance for survival lies with Zero and the Blackcoats, his ruthless crew. But Emika soon learns that Zero isn't all that he seems--and his protection comes at a price.nnCaught in a web of betrayal, with the future of free will at risk, just how far will Emika go to take down the man she loves?",science-fiction
V.E. Schwab,https://images.gr-assets.com/books/1519916942l/26856502.jpg,"Vengeful (Villains, #2)",4.45 avg rating,"5,581 ratings",published 2018,"The sequel to VICIOUS, V.E. Schwab's first adult novel. Sydney once had Serena—beloved sister, betrayed enemy, powerful ally. But now she is alone, except for her thrice-dead dog, Dol, and then there's Victor, who thinks Sydney doesn't know about his most recent act of vengeance. Victor himself is un  The sequel to VICIOUS, V.E. Schwab's first adult novel.nnSydney once had Serena—beloved sister, betrayed enemy, powerful ally. But now she is alone, except for her thrice-dead dog, Dol, and then there's Victor, who thinks Sydney doesn't know about his most recent act of vengeance.nnVictor himself is under the radar these days—being buried and re-animated can strike concern even if one has superhuman powers. But despite his own worries, his anger remains. And Eli Ever still has yet to pay for the evil he has done.",science-fiction
Scott Westerfeld,https://images.gr-assets.com/books/1537581177l/37825397.jpg,"Impostors (Impostors, #1)",4.01 avg rating,"1,369 ratings",published 2018,"Frey and Rafi are inseparable . . . but very few people have ever seen them together. This is because Frey is Rafi’s double, raised in the shadows of their rich father’s fortress. While Rafi has been taught to charm, Frey has been taught to kill. Frey only exists to protect her sister. There is no on  Frey and Rafi are inseparable . . . but very few people have ever seen them together. This is because Frey is Rafi’s double, raised in the shadows of their rich father’s fortress. While Rafi has been taught to charm, Frey has been taught to kill. Frey only exists to protect her sister. There is no other part of her life. Frey has never been out in the world on her own – until her father sends her in Rafi’s place to act as collateral for a dangerous deal. Everyone thinks she’s her sister – but Col, the son of a rival leader, is starting to get close enough to tell the difference. As the stakes grow higher and higher, Frey must decide whether she can trust him – or anyone in her life.",science-fiction
Peter F. Hamilton,https://images.gr-assets.com/books/1518190008l/34068552.jpg,Salvation (Salvation Sequence #1),4.26 avg rating,"1,812 ratings",published 2018,"Humanity's complex relationship with technology spirals out of control in this first book of an all-new trilogy from ""the owner of the most powerful imagination in science fiction"" (Ken Follett). In 2204, humanity is expanding into the wider galaxy in leaps and bounds. A new technology of linked jumn  Humanity's complex relationship with technology spirals out of control in this first book of an all-new trilogy from ""the owner of the most powerful imagination in science fiction"" (Ken Follett).nnIn 2204, humanity is expanding into the wider galaxy in leaps and bounds. A new technology of linked jump gates has rendered most forms of transporation--including starships--virtually obsolete. Every place on earth, every distant planet mankind has settled, is now merely a step away from any other. And all seems wonderful...until a crashed alien spaceship is found on a newly-located world 89 light years from Earth, harboring seventeen human victims. And of the high-powered team dispatched to investigate the mystery, one is an alien spy...nnBursting with tension and big ideas, this standalone series highlights the inventiveness of an author at the top of his game, as the interweaving story lines tell us not only how humanity arrived at this moment, but also the far-future consequences that spin off from it.",science-fiction
Brandon Sanderson,https://images.gr-assets.com/books/1521572141l/39332065.jpg,"Legion: The Many Lives of Stephen Leeds (Legion, #1-3)",4.24 avg rating,"1,770 ratings",published 2018,"Stephen Leeds is perfectly sane. It’s his hallucinations who are mad. A genius of unrivaled aptitude, Stephen can learn any new skill, vocation, or art in a matter of hours. However, to contain all of this, his mind creates hallucinatory people—Stephen calls them aspects—to hold and manifest the infn  Stephen Leeds is perfectly sane. It’s his hallucinations who are mad.nnA genius of unrivaled aptitude, Stephen can learn any new skill, vocation, or art in a matter of hours. However, to contain all of this, his mind creates hallucinatory people—Stephen calls them aspects—to hold and manifest the information. Wherever he goes, he is joined by a team of imaginary experts to give advice, interpretation, and explanation. He uses them to solve problems… for a price.nnStephen’s brain is getting a little crowded and the aspects have a tendency of taking on lives of their own. When a company hires him to recover stolen property—a camera that can allegedly take pictures of the past—Stephen finds himself in an adventure crossing oceans and fighting terrorists. What he discovers may upend the foundation of three major world religions—and, perhaps, give him a vital clue into the true nature of his aspects.nnThis fall, Tor Books will publish Brandon Sanderson’s Legion: The Many Lives of Stephen Leeds. The collection will include the science fiction novellas Legion and Legion: Skin Deep, published together for the first time, as well as a brand new Stephen Leeds novella, Lies of the Beholder. This never-been-published novella will complete the series.",science-fiction
Amy Lukavics,https://images.gr-assets.com/books/1518113058l/36982587.jpg,Nightingale,3.26 avg rating,209 ratings,published 2018,"“Takes a slice of mid-twentieth-century Americana and exposes it as an utter and ongoing gender inequality nightmare. Electric, tense, horrifying, and a righteously angry yowl.” —Paul Tremblay, author of A Head Full of Ghosts and The Cabin at the End of the WorldAt seventeen, June Hardie is everythin  “Takes a slice of mid-twentieth-century Americana and exposes it as an utter and ongoing gender inequality nightmare. Electric, tense, horrifying, and a righteously angry yowl.” —Paul Tremblay, author of A Head Full of Ghosts and The Cabin at the End of the WorldAt seventeen, June Hardie is everything a young woman in 1951 shouldn’t be—independent, rebellious, a dreamer. June longs to travel, to attend college and to write the dark science fiction stories that consume her waking hours. But her parents only care about making June a better young woman. Her mother grooms her to be a perfect little homemaker while her father pushes her to marry his business partner’s domineering son. When June resists, her whole world is shattered—suburbia isn’t the only prison for different women…June’s parents commit her to Burrow Place Asylum, aka the Institution. With its sickening conditions, terrifying staff and brutal “medical treatments,” the Institution preys on June’s darkest secrets and deepest fears. And she’s not alone. The Institution terrorizes June’s fragile roommate, Eleanor, and the other women locked away within its crumbling walls. Those who dare speak up disappear…or worse. Trapped between a gruesome reality and increasingly sinister hallucinations, June isn’t sure where her nightmares end and real life begins. But she does know one thing: in order to survive, she must destroy the Institution before it finally claims them all.“Nightingale is a beautifully constructed novel featuring out-of-this-world suspense, a classic Stephen King vibe and an edge all its own. If that wasn't enough, its powerful portrayal of gender roles and feminism makes it all too timely and important.”—Courtney Summers, author of Sadie and This Is Not a Test",science-fiction
Maura Milan,https://images.gr-assets.com/books/1519185018l/38469737.jpg,"Ignite the Stars (Ignite the Stars, #1)",3.90 avg rating,352 ratings,published 2018,"Everyone in the universe knows his name. Everyone in the universe fears him. But no one realizes that notorious outlaw Ia Cocha is a seventeen-year-old girl. A criminal mastermind and unrivaled pilot, Ia has spent her life terrorizing the Olympus Commonwealth, the imperialist nation that destroyed hn  Everyone in the universe knows his name. Everyone in the universe fears him. But no one realizes that notorious outlaw Ia Cocha is a seventeen-year-old girl.nnA criminal mastermind and unrivaled pilot, Ia has spent her life terrorizing the Olympus Commonwealth, the imperialist nation that destroyed her home. When the Commonwealth captures her and her true identity is exposed, they see Ia’s age and talent as an opportunity: by forcing her to serve them, they will prove that no one is beyond their control.nnSoon, Ia is trapped at the Commonwealth’s military academy, desperately plotting her escape. But new acquaintances—including Brinn, a seemingly average student with a closely-held secret, and their charming Flight Master, Knives—cause Ia to question her own alliances. Can she find a way to escape the Commonwealth’s clutches before these bonds deepen?nnIn this exhilarating edge-of-your-seat sci-fi adventure—perfect for fans of The Lunar Chronicles—debut author Maura Milan introduces our world to a thrilling new heroine.",science-fiction
Katya de Becerra,https://images.gr-assets.com/books/1516109309l/29748448.jpg,What the Woods Keep,3.66 avg rating,253 ratings,published 2018,"On her eighteenth birthday, Hayden inherits her childhood home—on the condition that she uncover its dark secrets. Hayden tried to put the past behind her, and it worked. She's getting ready for college, living in a Brooklyn apartment, and hanging out with her best friend and roommate Del. But now in  On her eighteenth birthday, Hayden inherits her childhood home—on the condition that she uncover its dark secrets.nnHayden tried to put the past behind her, and it worked. She's getting ready for college, living in a Brooklyn apartment, and hanging out with her best friend and roommate Del. But now it's all catching up with her: her mother's mysterious disappearance a decade before, her father's outlandish theories about a lost supernatural race, and Hayden's own dark dreams of strange symbols and rituals in the Colorado woods where she grew up.nnAs soon as Hayden arrives at her hometown, her friend Del in tow, it begins: Neighbors whisper secrets about Hayden's mother; the boy next door is now all grown-up in a very distracting way; and Hayden feels the trees calling to her. And among them, deep in the woods, Hayden will discover something incredible—something that threatens reality itself.",science-fiction
Ryan North,https://images.gr-assets.com/books/1521557569l/37752621.jpg,How to Invent Everything: A Survival Guide for the Stranded Time Traveller,4.21 avg rating,233 ratings,published 2018,"""How to Invent Everything is such a cool book. It's essential reading for anyone who needs to duplicate an industrial civilization quickly."" --Randall Munroe, xkcd creator and New York Times-bestselling author of What If? The only book you need if you're going back in time What would you do if a timn  ""How to Invent Everything is such a cool book. It's essential reading for anyone who needs to duplicate an industrial civilization quickly."" --Randall Munroe, xkcd creator and New York Times-bestselling author of What If? nnThe only book you need if you're going back in timennWhat would you do if a time machine hurled you thousands of years into the past. . . and then broke? How would you survive? Could you improve on humanity's original timeline? And how hard would it be to domesticate a giant wombat? nnWith this book as your guide, you'll survive--and thrive--in any period in Earth's history. Bestselling author and time-travel enthusiast Ryan North shows you how to invent all the modern conveniences we take for granted--from first principles. This illustrated manual contains all the science, engineering, art, philosophy, facts, and figures required for even the most clueless time traveler to build a civilization from the ground up. Deeply researched, irreverent, and significantly more fun than being eaten by a saber-toothed tiger, How to Invent Everything will make you smarter, more competent, and completely prepared to become the most important and influential person ever. You're about to make history. . . better.",science-fiction
Gena Showalter,https://images.gr-assets.com/books/1521559081l/37508836.jpg,Oh My Goth,3.85 avg rating,75 ratings,published 2018," A note from Jade Leighton's journal Years ago, a tragic accident robbed me of my mother and emotions. Because I find beauty in darkness and thrive outside social norms, I've been labeled a ""freak"" at school. I know my continued apathy hurts my loved ones, but I'm not about to change. Nothing will en  n  A note from Jade Leighton's journalnYears ago, a tragic accident robbed me of my mother and emotions. Because I find beauty in darkness and thrive outside social norms, I've been labeled a ""freak"" at school. I know my continued apathy hurts my loved ones, but I'm not about to change. Nothing will ever hurt me again.Then I wake up in an alternate reality...and everything else has changed. Goth is in. I'm considered cool, and my archenemy--the formerly popular Mercedes--is the freak. But my real friends won't talk to me...and the new boy is getting under my skin. As my world spins out of control, I'm desperate to return to normal. But the more time that passes, the less I'm sure what ""normal"" really is.",science-fiction
Brandon Sanderson,https://images.gr-assets.com/books/1522700684l/37640636.jpg,"Lies of the Beholder (Legion, #3)",4.06 avg rating,891 ratings,published 2018,"Brandon Sanderson is one of the most significant fantasists to enter the field in a good many years. His ambitious, multi-volume epics (Mistborn, The Stormlight Archive) and Hugo Award-winning The Emperor's Soul have earned both critical acclaim and a substantial popular following. In the Legion sern  Brandon Sanderson is one of the most significant fantasists to enter the field in a good many years. His ambitious, multi-volume epics (Mistborn, The Stormlight Archive) and Hugo Award-winning The Emperor's Soul have earned both critical acclaim and a substantial popular following. nnIn the Legion series, distinctly contemporary novellas filled with suspense, humor, and an endless flow of invention, Sanderson has revealed a startling new facet of his singular narrative talent. Stephen Leeds, AKA “Legion,” is the series' hero, a man whose unique mental condition allows him to generate a multitude of personae: hallucinatory entities with a wide variety of personal characteristics and a vast array of highly specialized skills. nnThe third and final entry in the series, Lies of the Beholder, is perhaps the strangest, most unpredictable installment to date. nnThe story begins with two seemingly unrelated events: the disappearance of Armando, one of Stephen's many “aspects,” and an unexpected cry for help from Sandra, the woman who, many years before, helped him learn to live with his condition. These events lead Stephen, along with several of his aspects, to a sinister high-tech firm specializing in advanced methods of human incarceration. nnThe result is a visionary meditation on the mysteries of the human personality. Like the volumes that preceded it, Sanderson's latest is original, challenging, and utterly absorbing. In Stephen Leeds, a man constantly struggling to understand and control his own divided nature, he has created one of the most compelling heroes in recent popular fiction. Like the best of Sanderson's work, Lies of the Beholder is something special. It is the clear product of a master storyteller, and it is not to be missed",science-fiction
Margaret Stohl,https://images.gr-assets.com/books/1524075127l/37505593.jpg,This is War (Cats vs. Robots #1),3.73 avg rating,40 ratings,published 2018,"The Robot Federation and the Feline Empire have been at war for eons. And now that fight is coming to a tiny primitive planetoid…Earth. The mission for both cats and robots: retrieve the Singularity Chip. With it, cats can live past their nine lives, and robots are granted eternal battery life. Meann  The Robot Federation and the Feline Empire have been at war for eons. And now that fight is coming to a tiny primitive planetoid…Earth. The mission for both cats and robots: retrieve the Singularity Chip. With it, cats can live past their nine lives, and robots are granted eternal battery life.nnMeanwhile, twin siblings Max and Min Wengrod are as different as can be. Min always gets good grades, and she loves to read and build robots. Max hates school, and prefers to play games and spend time online with friends.nnWhen Max rescues two kittens and is determined to keep them, Min is horrified that these furballs could ruin her chances at the Battle of the Bots competition. But with hidden forces at play in their own house, and the larger war between cats and robots fast approaching, will the twins be able to put aside their differences before they get caught in the crossfire?  ",science-fiction
Jacqui Castle,https://images.gr-assets.com/books/1520385339l/38899614.jpg,The Seclusion,4.24 avg rating,114 ratings,published 2018,"In the year 2090, America has walled itself off from the rest of the world. When her father is arrested by the totalitarian Board, a young woman sets out to escape the only country she’s ever known. While on a routine assignment scouting the viability of dwindling natural resources outside the massin  In the year 2090, America has walled itself off from the rest of the world. When her father is arrested by the totalitarian Board, a young woman sets out to escape the only country she’s ever known.nnWhile on a routine assignment scouting the viability of dwindling natural resources outside the massive urban centers most American citizens call home, Patricia ’Patch’ and her co-worker Rexx discover a relic from the past containing dangerous contraband―unedited books from before The Seclusion. These texts will spark an unquenchable thirst for the truth that sees Patch’s father arrested by the totalitarian Board.nnEvading her own arrest, Patch and Rexx set out across a ruined future United States, seeking some way to escape the only home they’ve ever known. Along the way, they learn about how their country came to be this way and fall in love. But their newfound knowledge may lead to their own demise.",science-fiction
Sangu Mandanna,https://images.gr-assets.com/books/1527637417l/37588503.jpg,A Spark of White Fire (The Celestial Trilogy #1),4.17 avg rating,168 ratings,published 2018,"In a universe of capricious gods, dark moons, and kingdoms built on the backs of spaceships, a cursed queen sends her infant daughter away, a jealous uncle steals the throne of Kali from his nephew, and an exiled prince vows to take his crown back. Raised alone and far away from her home on Kali, Esn  In a universe of capricious gods, dark moons, and kingdoms built on the backs of spaceships, a cursed queen sends her infant daughter away, a jealous uncle steals the throne of Kali from his nephew, and an exiled prince vows to take his crown back. nnRaised alone and far away from her home on Kali, Esmae longs to return to her family. When the King of Wychstar offers to gift the unbeatable, sentient warship Titania to a warrior that can win his competition, she sees her way home: she’ll enter the competition, reveal her true identity to the world, and help her famous brother win back the crown of Kali. nnIt’s a great plan. Until it falls apart. nnInspired by the Mahabharata and other ancient Indian stories, A Spark of White Fire is a lush, sweeping space opera about family, curses, and the endless battle between jealousy and love.",science-fiction
Greg Van Eekhout,https://images.gr-assets.com/books/1520192184l/35417162.jpg,Voyage of the Dogs,4.24 avg rating,88 ratings,published 2018,"This edge-of-your-seat action-packed story is Homeward Bound—set in space! SOS. Laika damaged. Human crew missing. We are the dogs. We are alone. Lopside is a Barkonaut—a specially trained dog who assists human astronauts on missions in space. He and the crew aboard the spaceship Laika are en routen  This edge-of-your-seat action-packed story is Homeward Bound—set in space!nnSOS. Laika damaged. Human crew missing.nWe are the dogs. We are alone.nnLopside is a Barkonaut—a specially trained dog who assists human astronauts on missions in space. He and the crew aboard the spaceship Laika are en route to set up an outpost on a distant planet. When the mission takes a disastrous turn, the Barkonauts on board suddenly find themselves completely alone on their severely damaged ship.nnSurvival seems impossible. But these dogs are Barkonauts—and Barkonauts always complete their mission.",science-fiction
Andrew  Smith,https://images.gr-assets.com/books/1516807124l/38193408.jpg,Rabbit & Robot,3.76 avg rating,172 ratings,published 2018,"Cager has been transported to the Tennessee, a giant lunar-cruise ship orbiting the moon that his dad owns, by Billy and Rowan to help him shake his Woz addiction. Meanwhile, Earth, in the midst of thirty simultaneous wars, burns to ash beneath them. And as the robots on board become increasingly inn  Cager has been transported to the Tennessee, a giant lunar-cruise ship orbiting the moon that his dad owns, by Billy and Rowan to help him shake his Woz addiction. Meanwhile, Earth, in the midst of thirty simultaneous wars, burns to ash beneath them. And as the robots on board become increasingly insane and cannibalistic, and the Earth becomes a toxic wasteland, the boys have to wonder if they’ll be stranded alone in space forever.",science-fiction
Liesl Shurtliff,https://images.gr-assets.com/books/1525087585l/37702173.jpg,The Mona Lisa Key (Time Castaways #1),3.88 avg rating,51 ratings,published 2018,"When Matt, Ruby, and Corey Hudson discover their subway train is actually a time-traveling eighteenth-century frigate captained by a mysterious pirate, they are thrown into a series of adventures that offer cryptic clues about their past and the",science-fiction
Christian McKay Heidicker,https://images.gr-assets.com/books/1527614716l/36373447.jpg,Attack of the 50 Foot Wallflower,3.76 avg rating,67 ratings,published 2018,"Phoebe Lane is a lightning rod for monsters. She and her mom are forced to flee flesh-eating plants, radioactive ants, and blobs from outer space. They survive thanks to Phoebe’s dad—an invisible titan, whose giant eyes warn them where the next monster attack will take place. All Phoebe wants is ton  Phoebe Lane is a lightning rod for monsters.nnShe and her mom are forced to flee flesh-eating plants, radioactive ants, and blobs from outer space. They survive thanks to Phoebe’s dad—an invisible titan, whose giant eyes warn them where the next monster attack will take place.nnAll Phoebe wants is to stop running from motel to motel and start living a monster-free life in New York or Paris. But when her mom mysteriously vanishes, Phoebe is left to fend for herself in small-town Pennybrooke.nnThat's when Phoebe starts to transform…nnChristian McKay Heidicker, author of Cure for the Common Universe, returns with a book unlike any other, challenging perceived notions of beauty, identity, and what it means to be a monster.",science-fiction
Christopher Healy,https://images.gr-assets.com/books/1519851670l/22216785.jpg,A Dastardly Plot (A Perilous Journey of Danger and Mayhem #1),3.78 avg rating,41 ratings,published 2018,"It's 1883—the Age of Invention! A time when great men like Thomas Edison, Alexander Graham Bell, Nicola Tesla, and George Eastman work to turn the country into a land of limitless opportunity. And it all happens at the world famous Inventor’s Guild headquarters in New York City—a place where a greatn  It's 1883—the Age of Invention! A time when great men like Thomas Edison, Alexander Graham Bell, Nicola Tesla, and George Eastman work to turn the country into a land of limitless opportunity.nnAnd it all happens at the world famous Inventor’s Guild headquarters in New York City—a place where a great idea, a lot of hard work, and a little bit of luck can find you rubbing elbows with these gods of industry who will usher humanity into the future.nnUnless, of course, you’re a woman.nnMolly Pepper, daughter of brilliant but unknown inventor Cassandra Pepper, lives with her mother in New York. By day, they make ends meet running a pickle shop; but by night, they toil and dream of Cassandra taking her place among the most famous inventors in America.nnIn an attempt to find a way to exhibit Cass’s work at the World’s Fair, they break into the Inventor's Guild, where they discover a mysterious plot to destroy New York.nnThe evidence points to the involvement of one of the world’s most famous inventors, and now it’s up to Molly, Cassandra, and a shop hand named Emmett Lee to uncover the truth—even if no one will ever know it was they who did it.",science-fiction
Peter Tieryas,https://images.gr-assets.com/books/1536603851l/37797649.jpg,Mecha Samurai Empire,4.06 avg rating,110 ratings,published 2018,"A standalone book set in the USJ universe, Mecha Samurai Empire focuses on a group of aspiring mecha cadets preparing to fight the Nazis. Foremost among them, Makoto Fujimoto grew up in California, but with a difference--his California is part of the United States of Japan. After Germany and Japan wn  A standalone book set in the USJ universe, Mecha Samurai Empire focuses on a group of aspiring mecha cadets preparing to fight the Nazis. nnForemost among them, Makoto Fujimoto grew up in California, but with a difference--his California is part of the United States of Japan. After Germany and Japan won WWII, the United States fell under their control. Growing up in this world, Mac plays portical games, haphazardly studies for the Imperial Exam, and dreams of becoming a mecha pilot. Only problem: Mac's grades are terrible. His only hope is to pass the military exam and get into the prestigious mecha pilot training program at Berkeley Military Academy. nnWhen his friend Hideki's plan to game the test goes horribly wrong, Mac washes out of the military exam too. Perhaps he can achieve his dream by becoming a civilian pilot. But with tensions rising between Imperial Japan and Nazi Germany and rumors of collaborators and traitors abounding, Mac will have to stay alive long enough first...",science-fiction
Parker Peevyhouse,https://images.gr-assets.com/books/1527307975l/33803106.jpg,The Echo Room,3.40 avg rating,162 ratings,published 2018,"Rett wakes on the floor of a cold, dark room. He doesn’t know how he got there, only that he’s locked in. He’s not alone—a girl named Bryn is trapped in the room with him. When she finds a mysterious bloodstain and decides she doesn’t trust Rett, he tries to escape on his own— Rett wakes on the floon  Rett wakes on the floor of a cold, dark room. He doesn’t know how he got there, only that he’s locked in. He’s not alone—a girl named Bryn is trapped in the room with him. When she finds a mysterious bloodstain and decides she doesn’t trust Rett, he tries to escape on his own—nnRett wakes on the floor of the same cold, dark room. He doesn’t trust Bryn, but he’ll have to work with her if he ever hopes to escape. They try to break out of the room—nnRett and Bryn hide in a cold, dark room. Safe from what’s outside.nnBut they’re not alone.",science-fiction
